City_ID,City,Lat,Lng,Max Temp,Humidity,Pressure,Cloudiness,Wind Speed,Country,Date
0,hawaiian paradise park,19.5933,-154.9731,81.91,74,1018,75,8.05,US,1718585090
1,blackmans bay,-43.0167,147.3167,49.73,78,1021,100,1.99,AU,1718585495
2,kavaratti,10.5669,72.642,82.54,79,1008,100,8.39,IN,1718585496
3,yermakovskoye,53.2831,92.4003,62.62,79,1007,13,2.59,RU,1718585497
4,walvis bay,-22.9575,14.5053,62.1,82,1017,98,9.22,NA,1718585498
5,saint-pierre,-21.3393,55.4781,69.48,78,1017,100,5.75,RE,1718585499
6,wailua homesteads,22.0669,-159.378,86.43,74,1018,0,14.97,US,1718585500
7,lebu,-37.6167,-73.65,52.43,86,1016,100,18.23,CL,1718585086
8,hasaki,35.7333,140.8333,84.29,77,1008,100,11.92,JP,1718585502
9,bilibino,68.0546,166.4372,72.18,28,1012,43,7.78,RU,1718585504
10,port elizabeth,-33.918,25.5701,53.89,94,1016,0,6.91,ZA,1718585068
11,rouyn-noranda,48.2398,-79.0288,52.23,97,1016,100,7.31,CA,1718585267
12,adamstown,-25.066,-130.1015,71.31,77,1015,100,15.19,PN,1718585064
13,ambon,-3.6954,128.1814,83.88,95,1012,75,5.75,ID,1718585508
14,flying fish cove,-10.4217,105.6791,78.48,88,1013,100,11.5,CX,1718585509
15,puerto natales,-51.7236,-72.4875,24.51,90,1010,53,2.71,CL,1718585094
16,yellowknife,62.456,-114.3525,51.42,54,1008,75,19.57,CA,1718584866
17,saipan,15.1355,145.701,88.5,66,1013,40,12.66,MP,1718585063
18,vadso,70.0744,29.7487,52.68,93,1017,100,8.05,NO,1718585513
19,rovira,4.2392,-75.24,71.98,91,1015,100,3.65,CO,1718585514
20,abaza,52.655,90.0928,65.64,82,1009,31,3.83,RU,1718585515
21,miyazu,35.5333,135.1833,73.6,48,1010,100,4.41,JP,1718585517
22,port-aux-francais,-49.35,70.2167,41.99,93,993,100,28.83,TF,1718585075
23,umba,66.6871,34.3429,50.45,80,1020,100,3.94,RU,1718585519
24,hobyo,5.3505,48.5268,77.7,85,1010,100,22.91,SO,1718585520
25,angaur state,6.906,134.13,84.52,70,1010,100,6.35,PW,1718585521
26,kodiak,57.79,-152.4072,54.91,82,1021,0,8.05,US,1718585522
27,mount pearl,47.5166,-52.7813,49.96,94,1014,100,13.8,CA,1718585523
28,san martin,-33.081,-68.4681,52.34,48,1015,0,3.24,AR,1718585524
29,ushuaia,-54.8,-68.3,29.86,74,1006,75,19.57,AR,1718585361
30,qaqortoq,60.7167,-46.0333,46.8,87,1006,100,11.39,GL,1718585098
31,grytviken,-54.2811,-36.5092,24.62,80,992,33,10.04,GS,1718585067
32,vorgashor,67.5833,63.95,43.81,74,1016,100,1.72,RU,1718585529
33,waitangi,-43.9535,-176.5597,53.82,97,1009,100,11.01,NZ,1718585065
34,san rafael,-34.6177,-68.3301,52.97,47,1015,65,5.5,AR,1718585531
35,rio grande,-32.035,-52.0986,62.71,90,1016,100,16.58,BR,1718585299
36,kingston,17.997,-76.7936,85.15,70,1012,20,11.5,JM,1718585023
37,utrik,11.2278,169.8474,82.92,78,1012,32,17.2,MH,1718585106
38,tanout,14.9709,8.8879,84.9,44,1009,3,9.28,NE,1718585535
39,westport,41.1415,-73.3579,67.82,74,1023,28,4.0,US,1718585536
40,ubajara,-3.8544,-40.9211,64.89,86,1015,100,2.62,BR,1718585537
41,solnechnyy,50.7214,136.6319,45.03,97,1000,100,9.28,RU,1718585538
42,kamina,-8.7386,24.9906,55.13,41,1015,63,3.11,CD,1718585540
43,chui,-33.6971,-53.4616,57.16,84,1021,100,5.5,UY,1718585469
44,talnakh,69.4865,88.3972,35.2,67,1015,73,5.73,RU,1718585542
45,tura,25.5198,90.2201,76.19,96,1004,100,5.23,IN,1718584810
46,jamestown,42.097,-79.2353,80.24,41,1019,0,6.91,US,1718585313
47,olonkinbyen,70.9221,-8.7187,30.2,73,1017,100,4.68,SJ,1718585080
48,port alfred,-33.5906,26.891,62.4,65,1017,100,11.07,ZA,1718585546
49,bethel,41.3712,-73.414,68.31,74,1021,18,1.01,US,1718585547
